fecha,ocupacion,ingresos,satisfaccion,reservas_canceladas,tiempo_respuesta,personal_activo,reservas_nuevas,gastos_operativos,clientes_recurrentes
2024-03-01,0.85,12500,4.5,2,15,8,25,8500,0.35
2024-03-02,0.78,11800,4.2,3,18,7,22,8200,0.32
2024-03-03,0.92,14500,4.8,1,12,9,30,8800,0.40
2024-03-04,0.65,9800,3.8,5,25,6,18,7500,0.28
2024-03-05,0.88,13200,4.6,2,14,8,28,8600,0.38
2024-03-06,0.72,10800,4.0,4,20,7,20,8000,0.30
2024-03-07,0.95,15200,4.9,1,10,10,32,9000,0.42
2024-03-08,0.68,10200,3.7,6,28,6,19,7800,0.29
2024-03-09,0.82,12300,4.4,3,16,8,24,8400,0.34
2024-03-10,0.75,11200,4.1,4,22,7,21,8100,0.31
2024-03-11,0.89,13400,4.7,2,13,9,29,8700,0.39
2024-03-12,0.70,10500,3.9,5,24,7,20,7900,0.30
2024-03-13,0.83,12400,4.3,3,17,8,25,8300,0.35
2024-03-14,0.91,13800,4.8,1,11,9,31,8900,0.41
2024-03-15,0.77,11500,4.2,4,19,7,23,8200,0.33
2024-03-16,0.86,12900,4.5,2,15,8,27,8500,0.37
2024-03-17,0.69,10300,3.8,6,26,6,20,7700,0.29
2024-03-18,0.81,12100,4.3,3,16,8,24,8300,0.34
2024-03-19,0.94,14100,4.9,1,10,10,31,9000,0.42
2024-03-20,0.73,10900,4.0,4,21,7,21,8000,0.31
2024-03-21,0.87,13000,4.6,2,14,8,28,8600,0.38
2024-03-22,0.80,12000,4.3,3,17,8,24,8300,0.34
2024-03-23,0.93,13900,4.8,1,11,9,30,8900,0.41
2024-03-24,0.76,11400,4.1,4,20,7,22,8100,0.32
2024-03-25,0.84,12600,4.4,2,15,8,26,8400,0.36
2024-03-26,0.67,10000,3.7,6,27,6,19,7800,0.29
2024-03-27,0.90,13500,4.7,2,13,9,29,8800,0.40
2024-03-28,0.74,11100,4.0,4,21,7,21,8000,0.31
2024-03-29,0.88,13200,4.6,2,14,8,28,8600,0.38
2024-03-30,0.96,14400,4.9,1,9,10,33,9100,0.43 
